ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
80.179.155.145,80.179.155.145.static.hosting.spd.co.il.,12400,Partner Communications Ltd.,IL,Netanya,,i/o timeout,,0.00,2023-01-09T13:06:50Z,2020-07-21T17:42:51Z
192.116.158.140,ES.RAINBOWMD.COM.,12400,Partner Communications Ltd.,IL,Ma'alot-Tarshiha,,i/o timeout,,0.00,2023-02-28T06:47:10Z,2020-09-18T18:57:01Z
31.168.224.100,bzq-224-168-31-100.red.bezeqint.net.,8551,Bezeq International,IL,Misgav Regional Council,unknown,Unexpected result for wikileaks.org: {[[195 35 109 53] [185 165 168 41] [141 105 65 113] [195 35 109 44]]},,0.00,2021-09-01T15:45:34Z,2021-06-09T14:12:08Z
82.80.196.156,bzq-82-80-196-156.red.bezeqint.net.,8551,Bezeq International,IL,Tel Aviv,UNKNOWN,Unexpected result for wikileaks.org: {[[141 105 65 113] [185 165 168 41] [195 35 109 53] [195 35 109 44]]},,0.01,2021-09-02T20:45:22Z,2021-06-09T14:15:56Z
213.8.5.220,,12400,Partner Communications Ltd.,IL,Kiryat Gat,,,false,1.00,2023-04-20T15:48:33Z,2021-06-09T14:24:46Z
194.90.121.121,,1680,Cellcom Fixed Line Communication L.P.,IL,Tel Aviv,dnsmasq-2.15-OpenDNS-1,SERVFAIL for rotten.com,,0.49,2021-10-14T10:03:18Z,2021-09-25T20:29:13Z
82.80.239.65,bzq-82-80-239-65.cablep.bezeqint.net.,8551,Bezeq International,IL,Haifa,dnsmasq-2.76test12,,false,0.90,2021-10-08T09:12:50Z,2021-09-26T00:18:33Z
80.179.226.56,80.179.226.56.cable.012.net.il.,12400,Partner Communications Ltd.,IL,Gan Shemu’el,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2021-09-30T09:00:18Z,2021-09-26T20:30:31Z
176.228.53.46,176-228-53-46.orange.net.il.,12400,Partner Communications Ltd.,IL,Tel Aviv,dnsmasq-pi-hole-2.81,,false,1.00,2021-10-01T23:09:46Z,2021-10-01T23:09:46Z
176.230.74.137,176-230-74-137.orange.net.il.,12400,Partner Communications Ltd.,IL,Tel Aviv,dnsmasq-pi-hole-2.85,,false,1.00,2021-10-02T00:16:06Z,2021-10-02T00:16:06Z
192.114.3.5,dns.agri.gov.il.,378,Israel InterUniversity Computation Center,IL,Mazkeret Batya,,,false,1.00,2021-10-08T01:11:22Z,2021-10-02T15:37:08Z
193.138.92.130,ns3.omnitech.co.il.,43842,Malam Team Ltd.,IL,,,,false,1.00,2021-10-02T16:01:47Z,2021-10-02T16:01:47Z
87.68.142.219,87.68.142.219.cable.012.net.il.,12400,Partner Communications Ltd.,IL,Tel Aviv,dnsmasq-pi-hole-2.81,,false,1.00,2021-10-02T16:11:14Z,2021-10-02T16:11:14Z
141.226.91.188,,16116,Pelephone Communications Ltd.,IL,,,i/o timeout,,0.53,2022-08-27T22:24:23Z,2022-04-03T00:57:42Z
109.226.62.90,mail.freebrush.net.,50463,Triple C Cloud Computing Ltd.,IL,Qiryat Ono,,,false,0.88,2022-08-27T16:25:14Z,2022-08-25T03:40:59Z
109.226.62.94,,50463,Triple C Cloud Computing Ltd.,IL,Qiryat Ono,,,false,0.96,2022-08-26T16:24:11Z,2022-08-25T03:41:03Z
